letra,artista
here i am looking in the mirror an open face the pain erased now the sky is clearer i can see the sun now that all is all is said and done oh  there you are always strong when i need you you let me give and now i live fearless and protected with the one i will love after all is all is said and done  i once believed that hearts were made to bleed inside i once believed that hearts were made to bleed oh baby but now im not afraid to say i need you i need you so stay with me  these precious precious hours yeah greet each dawn in open arms and dream into tomorrow  where theres only love after all is all is said and done  yeah baby oh baby inside i once believed that hearts were meant to bleed  ill never ill never be afraid to say i need you i need you so here  here we are in the still of this moment fear is gone hope lives on  we found our happy ending for theres only love only love and this sweet sweet love after all is all is said and done  yeah baby after all is all is  all is said and done,Beyoncé
aint nothing like the real thing baby aint nothing like the real thing aint nothing like the real thing baby aint nothing like the real thing  i got your picture hangin on the wall it cant sing or come to me when i call your name i realize its just a picture in a frame  i read your letters when youre not near but they dont move me and they dont groove me like when i hear your sweet voice whispering in my ear  dont you know aint nothing like the real thing baby aint nothing like the real thing  i play the game a fantasy i pretend but im not in reality i need the shelter of your arms to comfort me  no other sound is quite the same as your name no touch can do half as much to make me feel better so lets stay together  i got your memories hanging on my wall but they dont move me and they dont groove me like when i hear your sweet voice whispering in my ear  so glad we got the real thing baby so glad we got the real thing aint nothing like the real thing baby aint nothing like the real thing aint nothing like the real thing baby aint nothing like the real thing  aint nothing like the real thing baby aint nothing like the real thing,Beyoncé
i heard church bells ringing i heard a choir singing i saw my love walk down the aisle on her finger he placed a ring  oooh oh  i saw them holding hands she was standing there with my man i heard them promise til death do us part each word was a pain in my heart  all i could do all i could do was cry all i could do was cry i was losing the man that i love and all i could do was cry  and now the wedding is over rice rice has been thrown over their heads for them life has just begun but mine is ending  ooh  all i could do all i could do was cry all i could do was cry i was losing the man that i love and all i could do was cry,Beyoncé
found the truth beneath your lies and true love never has to hide true love never has to hide ill trade your broken wings for mine trade your broken wings for mine ive seen your scars and kissed your crime seen your scars and kissed your crime  so many people that i know theyre just tryna touch ya kiss up and rub up and feel up kiss up and rub up and feel up on you give you some time to prove that i can trust you again im gonna kiss up and rub up and feel up kiss up and rub up and feel up on you  all night long sweet love all night long sweet love all night long sweet love all night long all i wanna aint no other we together i remember sweet love all night long  our love was stronger than your pride beyond your darkness im your light if you get deep you touch my mind if you get deep you touch my mind baptize your tears and dry your eyes baptize your tears and dry your eyes  so many people that i know theyre just tryna touch ya kiss up and rub up and feel up kiss up and rub up and feel up on you give you some time to prove that i can trust you again im gonna kiss up and rub up and feel up kiss up and rub up and feel up on you  all night long sweet love all night long sweet love all night long sweet love all night long all i wanna aint no other we together i remember sweet love all night long  they say true loves the greatest weapon to win the war caused by pain pain but every diamond has imperfections but my loves too pure to watch it chip away oh nothing real can be threatened true love breathes salvation back into me with every tear came redemption and my torturer became a remedy  so many people that i know theyre just tryna touch ya kiss up and rub up and feel up kiss up and rub up and feel up on you give you some time to prove that i can trust you again im gonna kiss up and rub up and feel up kiss up and rub up and feel up on you  all night long sweet love all night long sweet love all night long sweet love all night long all i wanna aint no other we together i remember sweet love all night long  how i missed you my love,Beyoncé
long live the king you a king you know it king already already you know it top everything everything you know it king already already you know it mind body soul got a king body body gon shine bling bling body calling all the shots ring ring body crown on your head got a king body  long live the king you a king you know it king already my baby you know it top everything everything you know it king already already you know it shine already its time already the line already its time already shine already its time already the line already its time already  try to stop it me say no no no royalty say dont you know know know try to stop it me say go go go go bubble up and watch it grow grow grow grow  every king be ruler be ruler yeah everybody all dey conquer yeah every king be stronger yeah king to rule them longer yeah remember who you are ooh real king always win oh give up your bread oh ill show your people my love its time already i say its time already the line already i say line already only you got the remedy i say you got the remedy shine your body shine your body  long live the king you a king you know it king already already you know it top everything everything you know it king already already you know it mind body soul got a king body body gon shine bling bling body calling all the shots ring ring body crown on your head got a king body  long live the king you a king you know it king already my baby you know it top everything everything you know it king already already you know it shine already its time already already the line already its time already already shine already its time already already the line already its time already already shine already its time already already the line already its time already already shine already its time already already the line already its time already  try to stop it me say no no no royalty say dont you know know know try to stop it me say go go go go bubble up and watch it grow grow grow grow  diamonds on my fist fighting demons oh come and rest your head take your crown off oh woke up in a foreign need to take it slow oh he said im moving too fast need to take it slow oh take it slow oh take it slow oh tryna take my baby home take it slow oh  remember who you are ooh real king always win oh give up your bread oh ill show your people my love its time already i say its time already the line already i say line already only you got the remedy i say you got the remedy shine your body shine your body ah  be your own king make nobody come rule your world yo yo yo yo be your own king make nobody come rule your world ah be your own king make nobody come rule your world yo yo yo yo be your own king make nobody come rule your world long live the king you a king you know it top everything everything you know it show them the way you know it you know it you know it,Beyoncé
beyoncé ven y quédate conmigo dame el corazón vida mía estoy muriendo lento en mi prisión  alejandro anda dime lo que sientes quitate el pudor y deja de sufrir escapa con mi amor después te llevaré hasta donde quieras sin temor y sin fronteras hasta donde sale el sol  beyoncé contigo soy capaz de lo que sea no me importa lo que venga porque ya sé a donde voy  alejandro soy tu gitano tu peregrino la única llave de tu destino el que te cuida más que a su vida soy tu ladrón  beyoncé soy tu gitana tu compañera la que te sigue la que te espera voy a quererte aunque me saquen el corazón  alejandro y aunque nos cueste la vida  beyoncé y aunque duela lo que duela  alejandro esta guerra la ha ganado nuestro amor  beyoncé esta guerra la ha ganado nuestro amor  beyoncé yo nací para tus ojos para nadie más siempre voy a estar en tu camino  alejandro alma de mi alma corazón de tempestad dime por donde ir después te llevaré hasta donde quieras sin temor y sin fronteras hasta donde sale el sol  beyoncé contigo soy capaz de lo que sea no me importa lo que venga porque ya se a donde voy  alejandro soy tu gitano tu peregrino la única llave de tu destino el que te cuida más que a su vida soy tu ladrón  beyoncé soy tu gitana tu compañera la que te sigue la que te espera voy a quererte aunque me saquen el corazón  alejandro y aunque nos cueste la vida  beyoncé y aunque duela lo que duela  alejandro esta guerra la ha ganado nuestro amor  beyoncè 0oh y aunque nos cueste la vida alejandro y aunque duela lo que duela  beyoncè esta guerra la ha ganado alejandro y beyoncè nuestro amor beyonce nuestro amor  alejandro nuestro amor alejandro y beyonce nuestro amor,Beyoncé
this is for my fans uhu uhu this is for my destiny uhu uhu this is for my fans uhu uhu this is for my future love uhu uhu this is for my best friend uhu uhu this is for my future children uhu uhu this is for my mother this is for the mother future  verse 1 you were my best friend and i love you you were always there to love me when i didnt even love myself you bring out the best in me and i thank you thank you for my life thank you for your refreshing wisdom and your strenght  chorus my earthangel thank you im so gratefull for trusting me and loving me with youre love im conditionally  my earthangel thank you im so gratefull for trusting me and loving me with youre love im conditionally  verse 2 you are my messenger from heaven no matter how unhappy i become you always have a way to make me smile and i admire you for youre pure heart you always giving all of you to everyone around you and i pray that we never part  chorus my earthangel thank you im so gratefull for trusting me and loving me with youre love im conditionally  my earthangel thank you im so gratefull for trusted me and loving me with youre love im conditionally  verse 3 and if you wasnt for you and if i didnt know you and if you never reached me and if you didnt teach me  i wouldnt be who i am right now i wouldnt give what i give right now i wouldnt think what i think right now im thanking you im thanking you  chorus my earthangel thank you im so gratefull for trusting me and loving me with youre love im conditionally  my earthangel thank you im so gratefull for trusting me and loving me with youre love im conditionally,Beyoncé
at last my love has come along my lonely days are over and life is like a song  ohh yeah yeah at last the skies above are blue my heart was wrapped up in clover the night i looked at you  i found a dream that i could speak to a dream that i can call my own i found a thrill to press my cheek to a thrill that i have never known  ohh yeah yeah you smile you smile oh and then the spell was cast and here we are in heaven for you are mine at last,Beyoncé
she was lost in so many different ways out in the darkness with no guide i know the cost of a losing hand but for the grace of god oh i  i found heaven on earth you are my last my first and then i hear this voice inside ave maria  ive been alone when im surrounded by friends how could the silence be so loud but i still go home knowing that ive got you theres only us when lights go down  you are my heaven on earth you are my hunger my thirst i always hear this voice inside singing ave maria  sometimes love can come and pass you by while youre busy making plans suddenly hit you and then you realize its out of your hands baby youve got to understand  you are my heaven on earth you are my last my first and then i hear this voice inside ave maria ave maria,Beyoncé
certified quality a dat the girl them need and them not stop cry without apology buck dem the right way that my policy sean paul alongside now hear what da man say beyoncé dutty ya dutty ya dutty ya beyonce sing it now ya  chorus baby boy you stay on my mind fulfill my fantasies i think about you all the time i see you in my dreams  baby boy not a day goes by without my fantasy i think about you all the time i see you in my dreams  ah oh my babys fly baby go yes no hurt me so good baby oh im so wrapped up in ya love let me go let me breathe stay out my fantasies  sean paul ya ready gimme da ting dat ya ready get ya live and tell me all about the tings that you will fantasize i know you dig the way me step the way me make my stride follow your feelings baby girl bc they cannot be denied come check me ina night and make we get it amplified me have the ting to run the ship cause im go slip and im go slide and in the words of love i got ta get it certified but i give you the toughest longest kinda ride girl  chorus baby boy you stay on my mind fulfill my fantasies i think about you all the time i see you in my dreams  baby boy not a day goes by without my fantasy i think about you all the time i see you in my dreams  picture us dancin real close in a dark dark corner of a basement party every time i close my eyes its like everyone left but you and me in our own little world the music is the sun the dance floor becomes the sea feels like true paradise to me  chorus baby boy you stay on my mind fulfill my fantasies i think about you all the time i see you in my dreams  baby boy not a day goes by without my fantasy i think about you all the time i see you in my dreams  baby boy you stay on my mind baby boy you are so damn fine and baby boy wont you be mine baby boy lets consider laying down  baby boy you stay on my mind baby boy you are so damn fine and baby boy wont you be mine baby boy lets consider laying down  sean paul top top girl me and ya together is a wrap that girl drivin around the town in ya drop top girl you no stop shock girl lil mo da dutty well rock dat world  top top girl me and ya together is a wrap that girl drivin around the town in ya drop top girl you no stop shock girl lil mo da dutty well rock dat world  chorus baby boy you stay on my mind fulfill my fantasies i think about you all the time i see you in my dreams  baby boy not a day goes by without my fantasy i think about you all the time i see you in my dreams  we steppin up outta this ship we steppin it up outta this ship i know you gon like it i know you gon like it im steppin up outta this ship im steppin it up outta this ship so dont you fight it so dont you fight it,Beyoncé
baby youre the only man that i want baby youre the only man that i love baby youre the only man that truly makes me happy so happy baby youre the only man that i want baby youre the only man that i love baby youre the only man that truely makes me happy so happy  im soo happy i met you its been a crazy afternoon and i cant wait till i get home to you cause ive been thinking about you all day long i hope you miss me boy cause here i come boy i love the way you move and i am love  love with you  sometimes i wonder how it feels to be as beautiful as you  baby baby youre the only man that i want baby youre the only man that i love baby youre the only man that truly makes me happy so happy baby youre the only man that i want baby youre the only man that i love baby youre the only man that truely makes me happy so happy  im soo happy i met you and i love the things you do baby only i can get close to you the thought i fell in love with you you got the quailities ive been lookin for so glad  im so dangerously in love with you  when im with chu boo your so good to me  and thats why im happy i met you baby youre the only man that i want baby youe the only man that i love baby youe the only man that truely makes me happy so happy baby youre the only man that i want baby youre the only man that i love baby youre the only man that truely makes me happy so happy  im soo happy i met you you make me happy put a smile on my face just thinking about you im so happy i found you you make me happy put a smile on my face just thinking about you  im so happy i met you im your baby  trough out my day i do love you so happy i met you you make me happy put a smile on my face thinking about you yeaa  im so happy i met you baby youre the only man that i want baby youre the only man that i love baby youre the only man that truly makes me happy so happy  baby youre the only man that i want baby youre the only man that i love baby youre the only man that truely makes me happy so happy im soo happy i met you,Beyoncé
i i left no time to regret kept my dick wet with that same old bet you and your head high and your tears dry get on without your guy and i i i went back to a knew so far removed from all that we went through and you and you you you tread a troubled track your odds are always stacked youll go back to black  we only said goodbye with words i died a hundred times i go back to her and you go back to you go back to  i i loved you much its not enough i love blow and you love puff and life is like a pipe and im a tiny penny rollin up the walls inside  we only said goodbye with words i died a hundred times you go back to her and i go back to we only said goodbye with words i died a hundred times you go back to her and i go back to i go back to him,Beyoncé
chorus when you see that girl comin back up up she aint yo average chick back up up this is for the the the club and this is for the people of the the the block  when you see that girl comin back up up she aint yo average chick back up up this is for the the the club and this is for the people of the the the block  bridge she aint the average chick she the baddest chick she aint the average chick she the baddest chick  eeeverybody knows that face even with her head low they still know that shape when she come through the club people take they place  chicks throwin handcuffs cuz they knowin they man aint safe  hook cuz she the one switchin up flows flows if its four door two gotta go go chicks like what kinda jeans is those those and fellas watchin like please get low please get low  chorus when you see that girl comin back up up she aint yo average chick back upup this is for the the the club and this is for the people of the the the block  when you see that girl comin back up up she aint yo average chick back upup this is for the the the club and this is for the people of the the the block  bridge she aint the average chick she the baddest chick she aint the average chick she the baddest chick  eeeverybody cant do this some aint gotta clue til they hear me spit ah chu i feel cuz yo girl is sick is it the change or the hips you cant tell but you know its thick  hook cuz she the one switchin up flows flows if its four door two gotta go go chicks like what kinda jeans is those those and fellas watchin like please get low please get low whoa  chorus when you see that girl comin back up up she aint yo average chick back upup this is for the the the club and this is for the people of the the the block  when you see that girl comin back up up she aint yo average chick back upup this is for the the the club and this is for the people of the the the block  bridge she aint the average chick she the baddest chick she aint the average chick she the baddest chick  for this type of girl its not that hard you see her cuz shes too far gone they only prayin pray for her downfall why they gotta be so envious doin what it do fit to be a plus hey hey hey hey hey hey hey  back up back up back up  chorus when you see that girl comin back up up she aint yo average chick back up up this is for the the the club and this is for the people of the the the block  when you see that girl comin back up up she aint yo average chick back upup this is for the the the club and this is for the people of the the the block  hey hey hey hey hey hey hey hey hey hey hey hey hey hey  shhh  back it up now whoa whoa whoa whoa whoa whoa,Beyoncé
ooh babyooh baby i love the way you make me feel it slows down time come in my bedroom and turn off the lights  you whisper softly in my ear makes me unwind the way you touch me lets me know youre mine  id rather be with you because i love the way you scream my name and theres no other man that gives me what i want and makes me feel this way id rather be with you because you hustle hard to take care of me id rather be with you boy id rather be with you  i love the way you look at me stare into my eyes what do they say to you boy dont be shy tonights the night your fantasies will all come true i am your woman i belong to you  there is nothing i wont do for you i know my soul connected me to you i feel so safe when im alone with you im holdin back nothin saving i all for you baby i love making love to you its like a high i cant come down from you  id rather be with you because i love the way you scream my name and theres no other man that gives me what i want and makes me feel this way id rather be with you because you hustle hard to take care of me id rather be with you boy id rather be with you  id rahter be with you oh yea boy i rather be with you id rather be with you oh yea boy i rather be with you  id rather be with you because i love the way you scream my name and theres no other man that gives me what i want and makes me feel this way id rather be with you because you hustle hard to take care of me id rather be with you boy id rather be with you  i dont want nobody else im happy with you you got me baby,Beyoncé
